0 credits,1 credits,2 credits,3 credits,4 credits,5 credits,6 credits,7 credits,8 credits,9 credits,10 credits
1,98,0,1,0,0,0,0,0,0,0
2,96,0,2,0,0,0,0,0,0,0
3,94,1,2,0,0,0,0,0,0,0
4,93,0,2,1,0,0,0,0,0,0
5,91,1,2,1,0,0,0,0,0,0
6,90,1,1,2,0,0,0,0,0,0
7,88,2,1,2,0,0,0,0,0,0
8,86,3,1,2,0,0,0,0,0,0
9,84,3,2,2,0,0,0,0,0,0
9,83,4,2,2,0,0,0,0,0,0
10,81,5,2,2,0,0,0,0,0,0
11,79,6,2,2,0,0,0,0,0,0
12,77,7,2,2,0,0,0,0,0,0
13,75,7,3,2,0,0,0,0,0,0
13,74,8,3,2,0,0,0,0,0,0
14,72,9,3,2,0,0,0,0,0,0
13,72,10,4,1,0,0,0,0,0,0
13,71,11,4,1,0,0,0,0,0,0
13,70,12,4,1,0,0,0,0,0,0
12,71,12,4,1,0,0,0,0,0,0
13,69,13,4,1,0,0,0,0,0,0
14,67,13,5,1,0,0,0,0,0,0
15,65,13,6,1,0,0,0,0,0,0
15,64,14,6,1,0,0,0,0,0,0
15,63,15,6,1,0,0,0,0,0,0
15,62,17,5,1,0,0,0,0,0,0
15,62,17,5,1,0,0,0,0,0,0
16,60,17,6,1,0,0,0,0,0,0
15,61,17,6,1,0,0,0,0,0,0
16,59,18,6,1,0,0,0,0,0,0
16,60,17,5,2,0,0,0,0,0,0
16,60,16,6,2,0,0,0,0,0,0
17,59,15,7,2,0,0,0,0,0,0
17,58,17,6,2,0,0,0,0,0,0
17,57,18,6,2,0,0,0,0,0,0
16,59,17,6,2,0,0,0,0,0,0
16,58,18,6,2,0,0,0,0,0,0
17,56,19,6,2,0,0,0,0,0,0
17,55,20,6,2,0,0,0,0,0,0
17,54,22,5,2,0,0,0,0,0,0
17,54,21,6,2,0,0,0,0,0,0
16,54,23,5,2,0,0,0,0,0,0
17,53,22,6,2,0,0,0,0,0,0
18,52,22,6,1,1,0,0,0,0,0
19,50,23,6,1,1,0,0,0,0,0
20,49,22,7,1,1,0,0,0,0,0
20,50,21,6,2,1,0,0,0,0,0
20,49,22,6,2,1,0,0,0,0,0
20,49,22,6,2,1,0,0,0,0,0
20,49,21,7,2,1,0,0,0,0,0
21,47,22,7,2,1,0,0,0,0,0
21,46,23,7,2,1,0,0,0,0,0
21,46,22,8,2,1,0,0,0,0,0
21,45,23,8,2,1,0,0,0,0,0
21,44,24,8,2,1,0,0,0,0,0
21,43,25,8,2,1,0,0,0,0,0
22,41,26,8,2,1,0,0,0,0,0
22,40,27,8,2,1,0,0,0,0,0
23,39,26,9,2,1,0,0,0,0,0
23,38,27,9,2,1,0,0,0,0,0
23,37,28,9,2,1,0,0,0,0,0
24,35,28,10,2,1,0,0,0,0,0
24,34,29,10,2,1,0,0,0,0,0
23,35,29,10,2,1,0,0,0,0,0
22,36,29,10,2,1,0,0,0,0,0
21,37,29,10,2,1,0,0,0,0,0
21,37,28,11,2,1,0,0,0,0,0
21,37,28,11,2,1,0,0,0,0,0
22,35,29,11,2,1,0,0,0,0,0
21,37,28,11,2,1,0,0,0,0,0
22,35,28,12,2,1,0,0,0,0,0
22,34,29,12,2,1,0,0,0,0,0
22,35,28,11,3,1,0,0,0,0,0
23,33,29,11,3,1,0,0,0,0,0
23,34,28,10,4,1,0,0,0,0,0
23,34,28,10,4,1,0,0,0,0,0
23,33,28,12,3,1,0,0,0,0,0
23,33,28,12,3,1,0,0,0,0,0
23,33,27,13,3,1,0,0,0,0,0
22,34,28,12,3,1,0,0,0,0,0
22,33,29,12,3,1,0,0,0,0,0
22,34,28,12,3,0,1,0,0,0,0
21,35,28,12,3,0,1,0,0,0,0
21,35,27,13,3,0,1,0,0,0,0
21,34,28,13,3,0,1,0,0,0,0
21,34,28,13,3,0,1,0,0,0,0
21,33,29,13,3,0,1,0,0,0,0
22,31,30,13,3,0,1,0,0,0,0
22,31,29,14,3,0,1,0,0,0,0
21,32,29,14,3,0,1,0,0,0,0
20,34,28,14,3,0,1,0,0,0,0
20,33,29,14,3,0,1,0,0,0,0
19,34,29,14,3,0,1,0,0,0,0
19,34,28,15,3,0,1,0,0,0,0
18,36,27,15,3,0,1,0,0,0,0
18,35,29,14,3,0,1,0,0,0,0
19,34,29,13,4,0,1,0,0,0,0
19,33,31,12,4,0,1,0,0,0,0
19,33,31,12,4,0,1,0,0,0,0
18,34,32,11,4,0,1,0,0,0,0
17,36,31,11,4,0,1,0,0,0,0
18,35,31,11,3,1,1,0,0,0,0
18,35,31,11,3,1,1,0,0,0,0
18,34,33,10,3,1,1,0,0,0,0
18,34,33,10,3,1,1,0,0,0,0
18,35,31,11,3,1,1,0,0,0,0
18,36,30,11,2,2,1,0,0,0,0
18,36,30,11,2,2,1,0,0,0,0
19,34,31,11,2,2,1,0,0,0,0
18,34,33,10,2,2,1,0,0,0,0
18,35,31,11,2,2,1,0,0,0,0
18,36,30,10,3,2,1,0,0,0,0
19,34,30,11,3,2,1,0,0,0,0
18,35,30,11,3,2,1,0,0,0,0
18,35,30,11,3,2,1,0,0,0,0
18,36,28,12,3,2,1,0,0,0,0
19,35,27,12,4,2,1,0,0,0,0
19,34,28,13,3,2,1,0,0,0,0
18,34,30,12,3,2,1,0,0,0,0
18,33,32,11,3,2,1,0,0,0,0
17,33,34,10,3,2,1,0,0,0,0
17,34,32,11,3,2,1,0,0,0,0
17,34,32,11,3,2,1,0,0,0,0
17,35,30,12,3,2,1,0,0,0,0
17,35,30,12,3,2,1,0,0,0,0
18,33,31,12,3,2,1,0,0,0,0
19,31,31,13,3,2,1,0,0,0,0
20,30,31,12,4,2,1,0,0,0,0
21,29,30,13,4,2,1,0,0,0,0
22,28,29,14,4,2,1,0,0,0,0
22,29,27,14,5,2,1,0,0,0,0
22,28,28,15,4,2,1,0,0,0,0
22,28,29,14,4,1,2,0,0,0,0
23,26,30,14,4,1,2,0,0,0,0
24,25,30,13,5,1,2,0,0,0,0
24,24,32,12,5,1,2,0,0,0,0
24,25,30,12,6,1,2,0,0,0,0
24,25,29,13,6,1,2,0,0,0,0
25,24,29,13,6,1,1,1,0,0,0
25,24,29,13,6,1,1,1,0,0,0
25,23,30,14,5,1,1,1,0,0,0
25,23,30,14,5,1,1,1,0,0,0
25,23,30,14,5,1,1,1,0,0,0
26,21,30,15,5,1,1,1,0,0,0
26,21,30,15,5,1,1,1,0,0,0
26,22,28,16,5,1,1,1,0,0,0
26,21,30,15,5,1,1,1,0,0,0
26,20,31,15,5,1,1,1,0,0,0
25,21,31,16,4,1,1,1,0,0,0
26,20,30,17,4,1,1,1,0,0,0
26,20,30,17,4,1,1,1,0,0,0
25,21,30,17,4,1,1,1,0,0,0
25,22,28,18,4,1,1,1,0,0,0
25,23,26,18,5,1,1,1,0,0,0
24,25,25,18,5,1,1,1,0,0,0
24,25,25,18,5,1,1,1,0,0,0
23,26,25,18,5,1,1,1,0,0,0
23,25,27,17,5,1,1,1,0,0,0
24,24,27,16,6,1,1,1,0,0,0
25,23,26,17,6,1,1,1,0,0,0
25,23,26,17,6,1,1,1,0,0,0
25,23,26,17,6,1,1,1,0,0,0
25,23,27,15,7,1,1,1,0,0,0
25,24,25,16,7,1,1,1,0,0,0
24,25,25,16,7,1,1,1,0,0,0
23,26,25,16,7,1,1,1,0,0,0
23,26,24,17,7,1,1,1,0,0,0
22,27,24,17,7,1,1,1,0,0,0
22,28,23,17,6,2,1,1,0,0,0
22,27,24,17,6,2,1,1,0,0,0
23,26,23,18,6,2,1,1,0,0,0
23,26,24,16,7,2,1,1,0,0,0
23,26,24,16,7,2,1,1,0,0,0
24,25,23,17,7,2,1,1,0,0,0
25,24,23,16,8,2,1,1,0,0,0
25,23,25,15,8,2,1,1,0,0,0
25,24,24,14,9,2,1,1,0,0,0
26,23,24,14,9,2,0,2,0,0,0
26,23,25,12,10,2,0,2,0,0,0
25,25,24,12,10,2,0,2,0,0,0
25,25,24,12,10,2,0,2,0,0,0
26,24,24,12,10,2,0,1,1,0,0
26,24,24,12,10,2,0,1,1,0,0
27,23,23,13,10,2,0,1,1,0,0
27,23,23,13,10,2,0,1,1,0,0
27,22,24,14,9,2,0,1,1,0,0
27,22,24,14,9,2,0,1,1,0,0
27,22,24,13,10,2,0,1,1,0,0
28,21,24,13,9,3,0,1,1,0,0
28,21,24,13,9,3,0,1,1,0,0
28,22,23,13,8,4,0,1,1,0,0
28,22,23,13,8,4,0,1,1,0,0
29,22,22,13,7,4,1,1,1,0,0
29,22,22,13,7,4,1,1,1,0,0
29,22,22,13,7,4,1,1,1,0,0
29,22,22,13,7,4,1,1,1,0,0
30,21,22,13,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
30,21,22,13,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
29,22,23,12,7,3,2,1,1,0,0
28,23,24,11,7,3,2,1,1,0,0
27,24,24,12,6,3,2,1,1,0,0
27,24,24,12,6,3,2,1,1,0,0
28,23,24,12,6,3,2,0,2,0,0
28,23,24,11,7,3,2,1,1,0,0
28,22,25,11,7,3,2,1,1,0,0
28,22,25,11,7,3,2,1,1,0,0
27,22,26,11,7,4,1,1,1,0,0
27,21,27,11,7,5,0,1,1,0,0
27,21,27,11,7,5,0,1,1,0,0
27,22,26,11,6,6,0,1,1,0,0
27,23,25,10,7,6,0,1,1,0,0
27,23,25,10,7,6,0,1,1,0,0
26,25,24,10,7,6,0,1,1,0,0
26,25,23,11,7,6,0,1,1,0,0
25,25,24,11,7,6,1,0,1,0,0
25,25,23,12,7,7,0,0,1,0,0
26,24,23,12,6,8,0,0,1,0,0
26,24,23,12,6,8,0,0,1,0,0
26,25,21,12,7,8,0,0,1,0,0
26,25,21,12,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
27,24,20,13,7,8,0,0,1,0,0
28,23,20,13,6,9,0,0,1,0,0
29,22,20,12,7,9,0,0,1,0,0
29,22,20,12,7,9,0,0,1,0,0
29,23,19,12,6,10,0,0,1,0,0
29,23,19,12,6,10,0,0,1,0,0
28,24,20,11,6,10,0,0,1,0,0
28,24,20,11,6,10,0,0,1,0,0
27,25,20,11,6,10,0,0,1,0,0
28,24,20,10,7,10,0,0,1,0,0
28,24,20,10,7,10,0,0,1,0,0
29,23,20,10,7,9,1,0,1,0,0
28,24,20,10,7,9,1,0,1,0,0
28,24,20,10,7,9,1,0,1,0,0
29,22,20,11,7,9,1,0,1,0,0
29,22,21,9,8,9,1,0,1,0,0
28,24,20,9,8,9,1,0,1,0,0
28,24,20,9,8,9,1,0,1,0,0
28,24,19,10,8,9,1,1,0,0,0
29,22,20,10,8,9,1,1,0,0,0
30,21,20,9,9,9,1,1,0,0,0
30,20,21,9,9,9,1,1,0,0,0
29,20,22,10,8,9,1,1,0,0,0
30,19,21,10,9,9,1,1,0,0,0
31,18,21,10,9,8,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
30,18,22,10,10,7,2,1,0,0,0
31,17,21,11,10,7,2,1,0,0,0
32,16,21,10,11,7,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
32,16,21,11,9,8,2,1,0,0,0
31,18,20,11,9,8,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
32,17,19,12,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
31,18,20,11,8,9,2,1,0,0,0
30,20,19,11,8,9,2,1,0,0,0
30,19,20,11,8,10,1,1,0,0,0
30,19,20,11,8,10,1,1,0,0,0
31,17,21,11,8,10,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
31,17,20,12,9,9,1,1,0,0,0
30,18,20,12,10,8,1,1,0,0,0
31,17,20,12,10,7,2,1,0,0,0
31,16,21,12,10,7,2,1,0,0,0
31,16,21,11,11,8,1,1,0,0,0
32,15,21,11,10,9,1,1,0,0,0
32,15,21,11,10,9,1,1,0,0,0
31,16,21,11,10,10,0,1,0,0,0
31,16,21,11,10,10,0,1,0,0,0
30,17,21,12,9,10,0,1,0,0,0
31,15,22,12,9,10,0,1,0,0,0
31,15,22,12,9,10,0,1,0,0,0
31,15,21,13,10,9,0,1,0,0,0
30,16,21,14,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
31,15,20,15,9,9,0,1,0,0,0
30,16,20,15,9,9,0,1,0,0,0
30,16,20,15,9,9,0,1,0,0,0
29,18,19,15,9,9,0,1,0,0,0
29,19,17,16,9,9,0,1,0,0,0
29,19,17,16,9,9,0,1,0,0,0
28,21,16,16,9,9,0,1,0,0,0
29,20,15,16,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
29,19,17,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
30,17,18,15,10,9,0,1,0,0,0
31,17,17,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,16,15,10,8,0,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,19,17,14,10,7,1,2,0,0,0
30,20,16,13,11,7,1,2,0,0,0
30,20,16,13,11,7,1,2,0,0,0
29,21,16,14,10,7,1,2,0,0,0
29,22,15,13,11,7,1,2,0,0,0
29,21,16,13,11,7,1,2,0,0,0
29,21,17,12,10,8,1,2,0,0,0
30,21,16,11,10,9,1,2,0,0,0
30,21,15,12,11,8,1,2,0,0,0
29,22,16,11,11,8,1,2,0,0,0
29,22,15,12,12,7,1,2,0,0,0
29,21,16,12,13,6,1,2,0,0,0
29,21,15,14,12,6,1,2,0,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,14,12,6,1,1,1,0,0
30,20,15,15,11,5,2,1,1,0,0
30,20,16,13,12,5,2,1,1,0,0
30,21,15,13,12,4,3,1,1,0,0
30,21,15,13,12,4,3,1,1,0,0
30,22,14,13,12,4,3,1,0,1,0
30,22,14,13,12,4,3,1,0,1,0
30,21,16,12,12,4,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
29,21,17,12,13,3,3,1,0,1,0
30,20,17,12,13,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,20,18,10,14,3,3,1,0,0,1
30,21,16,11,14,3,3,1,0,0,1
30,21,16,11,14,3,3,1,0,0,1
30,20,17,11,14,3,3,1,0,0,1
31,19,16,12,14,3,3,1,0,0,1
31,19,16,12,14,3,3,1,0,0,1
31,19,17,11,13,4,3,1,0,0,1
31,20,17,10,13,4,2,1,1,0,1
31,20,17,10,13,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,18,9,13,4,2,1,1,0,1
30,21,18,9,13,4,2,1,1,0,1
30,22,16,10,13,4,2,1,1,0,1
30,22,16,10,13,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,17,11,12,4,2,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
29,23,16,11,11,6,1,1,1,0,1
29,23,16,11,11,6,1,1,1,0,1
29,22,18,10,11,6,1,1,1,0,1
29,22,18,10,11,6,1,1,1,0,1
30,21,17,11,11,6,1,1,1,0,1
29,22,17,12,10,6,1,1,1,0,1
29,23,15,13,10,6,1,1,1,0,1
28,24,15,14,9,6,1,1,1,0,1
29,23,15,14,8,7,1,1,1,0,1
29,22,16,15,7,7,1,1,1,0,1
29,23,14,16,7,7,1,1,1,0,1
29,23,14,17,6,6,2,1,1,0,1
28,23,16,16,6,6,2,1,1,0,1
28,23,15,17,6,6,2,2,0,0,1
27,24,16,16,6,6,2,2,0,0,1
26,25,17,15,6,6,2,2,0,0,1
26,24,19,14,6,6,2,2,0,0,1
25,25,20,13,6,6,2,2,0,0,1
26,24,19,14,6,6,2,2,0,0,1
27,23,19,14,6,6,1,3,0,0,1
27,23,19,14,6,6,1,3,0,0,1
27,23,19,14,6,5,2,3,0,1,0
27,23,19,14,6,5,2,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
26,24,19,14,6,6,1,3,0,1,0
27,23,18,15,6,6,1,3,0,1,0
26,24,18,16,5,6,1,3,0,1,0
27,23,18,16,5,6,1,3,0,0,1
27,23,18,16,5,6,1,3,0,0,1
27,23,19,14,6,6,1,3,0,0,1
28,22,19,13,7,6,1,3,0,0,1
28,22,20,11,8,6,1,3,0,0,1
28,22,20,11,8,6,1,3,0,0,1
28,23,18,12,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,17,13,8,6,1,3,0,0,1
29,22,16,15,7,6,1,3,0,0,1
29,22,16,15,7,6,1,3,0,0,1
28,23,16,16,6,6,1,3,0,0,1
28,22,17,17,5,6,1,3,0,0,1
28,22,18,15,6,6,1,3,0,0,1
28,22,17,17,5,6,1,3,0,0,1
28,21,19,16,5,6,1,3,0,0,1
28,21,19,16,5,6,1,3,0,0,1
29,20,19,15,6,6,1,3,0,0,1
30,18,20,15,6,6,1,3,0,0,1
30,18,20,15,6,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,19,14,7,6,1,3,0,0,1
30,19,18,15,7,6,1,3,0,0,1
30,19,18,15,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
30,20,16,16,7,6,1,3,0,0,1
29,20,18,15,7,6,1,3,0,0,1
30,19,18,15,6,7,1,3,0,0,1
30,19,18,15,6,7,1,3,0,0,1
29,20,18,15,7,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,20,17,17,6,6,1,3,0,0,1
29,19,18,17,7,5,1,3,0,0,1
28,21,17,17,7,5,1,3,0,0,1
28,21,17,17,7,5,1,3,0,0,1
28,22,16,17,6,6,1,3,0,0,1
29,21,15,17,7,6,1,3,0,0,1
28,23,14,17,7,6,1,3,0,0,1
27,24,14,18,6,6,1,3,0,0,1
27,24,15,17,6,5,2,3,0,0,1
27,24,15,17,6,5,2,3,0,0,1
28,23,14,18,6,5,2,3,0,0,1
29,22,14,17,7,5,2,3,0,0,1
29,22,14,17,7,5,2,3,0,0,1
30,21,13,18,7,5,2,3,0,0,1
30,21,13,18,7,5,2,3,0,0,1
31,20,13,18,7,4,3,3,0,0,1
31,21,12,18,7,4,2,4,0,0,1
30,22,12,18,7,4,2,4,0,1,0
30,22,12,18,7,4,2,4,0,1,0
30,22,13,17,7,4,2,3,1,1,0
30,22,13,17,7,4,2,3,1,1,0
30,23,11,18,7,4,2,3,1,1,0
29,24,12,17,7,4,2,3,1,1,0
29,25,11,16,8,4,2,3,1,1,0
30,23,12,16,8,4,2,3,1,1,0
30,23,12,16,8,4,2,3,1,1,0
30,23,12,16,8,3,4,2,1,1,0
29,24,12,17,7,3,4,2,1,1,0
30,22,13,17,7,3,4,2,1,1,0
29,23,14,16,7,3,4,2,1,1,0
29,23,14,16,7,3,4,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
27,24,16,15,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,22,16,16,7,4,4,1,1,1,0
27,24,15,16,7,4,4,1,1,1,0
27,24,15,16,7,4,4,1,1,1,0
28,22,16,16,7,4,4,1,1,1,0
28,22,16,15,8,4,4,1,2,0,0
29,20,17,15,8,4,4,1,2,0,0
29,19,18,16,7,4,4,1,2,0,0
30,18,18,16,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,17,23,13,6,5,4,1,2,0,0
30,16,22,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,22,12,7,5,4,1,2,0,0
28,20,21,12,7,5,4,1,2,0,0
28,19,23,11,7,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
30,18,21,11,7,6,4,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
28,20,21,11,8,6,3,1,2,0,0
27,21,21,12,7,6,3,1,2,0,0
28,20,20,13,7,6,3,1,2,0,0
28,20,21,12,6,7,3,1,2,0,0
28,20,21,12,6,7,3,1,2,0,0
28,19,22,12,7,6,3,1,2,0,0
29,17,23,12,7,6,3,1,2,0,0
29,17,24,10,8,6,3,1,2,0,0
30,16,24,9,9,6,3,1,2,0,0
30,15,25,9,10,5,3,1,2,0,0
30,16,24,9,9,6,3,1,2,0,0